id,text,label
1,"Machine learning is a method of teaching computers to learn patterns from data.",original
2,"Machine learning allows computers to learn patterns from data without being explicitly programmed.",original
3,"Machine learning is a method of teaching computers to learn patterns from data.",plagiarized
4,"Artificial intelligence can be used to analyze large amounts of information.",original
5,"Artificial intelligence helps computers analyze large amounts of information.",original
6,"Artificial intelligence can analyze large amounts of information.",plagiarized
7,"Natural language processing helps computers understand human language.",original
8,"NLP allows computers to process and understand human language.",original
9,"Natural language processing helps computers understand human language.",plagiarized
10,"Data preprocessing is an important step before training a machine learning model.",original
